MEM,func,k,AAE,ARE,_sum,throughput
100,CuckooCounter,1000,2.756,1.48321,556/1000,18.8914
100,CuckooSketch,1000,0.901,inf,610/1000,21.0664
100,CuckooSketchPro,1000,0.366,0.0800573,606/1000,26.6674
100,heavykeeper,1000,8.882,0.375167,429/1000,15.9441
100,LossyCounting,1000,263.064,251.099,48/1000,1.96384
100,spacesaving,1000,448.794,351.696,115/1000,17.6032
200,CuckooCounter,1000,1.59,0.779029,639/1000,18.6905
200,CuckooSketch,1000,0.388,0.145521,676/1000,20.3128
200,CuckooSketchPro,1000,0.175,0.0272835,682/1000,26.3269
200,heavykeeper,1000,2.786,0.210069,490/1000,16.1723
200,LossyCounting,1000,94.234,88.113,318/1000,1.99528
200,spacesaving,1000,200.571,159.417,175/1000,14.7665
300,CuckooCounter,1000,1.229,0.617861,692/1000,17.9688
300,CuckooSketch,1000,0.209,0.0677653,749/1000,19.9756
300,CuckooSketchPro,1000,0.116,0.0157545,732/1000,25.6417
300,heavykeeper,1000,1.912,0.178831,505/1000,16.1371
300,LossyCounting,1000,61.049,56.6585,340/1000,1.95154
300,spacesaving,1000,104.487,78.8145,348/1000,13.0412
400,CuckooCounter,1000,1.01,0.453064,760/1000,17.9144
400,CuckooSketch,1000,0.116,0.0227726,849/1000,19.5817
400,CuckooSketchPro,1000,0.068,0.00964861,791/1000,24.985
400,heavykeeper,1000,1.408,0.143113,506/1000,16.0377
400,LossyCounting,1000,44.684,41.3896,356/1000,1.96954
400,spacesaving,1000,75.738,56.1223,355/1000,11.9158
500,CuckooCounter,1000,0.968,0.460713,762/1000,17.4377
500,CuckooSketch,1000,0.107,0.0219328,890/1000,18.879
500,CuckooSketchPro,1000,0.073,0.0102075,854/1000,23.9596
500,heavykeeper,1000,1.32,0.131163,551/1000,15.8023
500,LossyCounting,1000,35.276,30.2023,362/1000,1.94917
500,spacesaving,1000,58.975,42.6014,365/1000,11.2623
600,CuckooCounter,1000,0.827,0.358465,788/1000,17.2215
600,CuckooSketch,1000,0.063,0.0145199,910/1000,18.0255
600,CuckooSketchPro,1000,0.042,0.00495431,885/1000,23.5994
600,heavykeeper,1000,1.197,0.127869,573/1000,15.7144
600,LossyCounting,1000,29.308,26.6519,367/1000,1.95375
600,spacesaving,1000,48.877,40.1125,366/1000,8.48184
700,CuckooCounter,1000,0.758,0.358408,811/1000,16.811
700,CuckooSketch,1000,0.054,0.0106155,933/1000,16.5992
700,CuckooSketchPro,1000,0.041,0.00504998,911/1000,22.5861
700,heavykeeper,1000,1.203,0.168173,635/1000,15.5872
700,LossyCounting,1000,24.486,18.7302,376/1000,1.95848
700,spacesaving,1000,40.662,27.5982,381/1000,10.3377
800,CuckooCounter,1000,0.811,0.388618,803/1000,16.2832
800,CuckooSketch,1000,0.052,0.0147408,939/1000,15.8391
800,CuckooSketchPro,1000,0.021,0.00304302,924/1000,22.2267
800,heavykeeper,1000,1.167,0.138789,660/1000,15.4354
800,LossyCounting,1000,21.134,15.0035,382/1000,1.98865
800,spacesaving,1000,35.355,24.7063,385/1000,10.026
900,CuckooCounter,1000,0.862,0.484157,840/1000,16.115
900,CuckooSketch,1000,0.035,0.00695952,950/1000,15.0768
900,CuckooSketchPro,1000,0.014,0.00199185,938/1000,20.2708
900,heavykeeper,1000,1.07,0.146663,671/1000,15.2574
900,LossyCounting,1000,18.475,10.255,387/1000,1.95159
900,spacesaving,1000,31.211,24.0626,389/1000,9.78694
1000,CuckooCounter,1000,0.673,0.302456,843/1000,16.009
1000,CuckooSketch,1000,0.033,0.00594453,967/1000,14.1387
1000,CuckooSketchPro,1000,0.01,0.00160833,948/1000,19.7375
1000,heavykeeper,1000,0.925,0.126728,705/1000,15.3574
1000,LossyCounting,1000,16.428,9.00171,394/1000,1.9498
1000,spacesaving,1000,27.915,22.4628,393/1000,9.52535
